id,drone_time,lat_location,lon_location,words,lastname,firstname,address,peacescore
b8b86ec3-6b24-478f-bdb4-e0b65fdb7bc3,2071-05-23T21:04:15,47.28822326660156,2.1625876426696777,Je;t'aime;Les;peacewatchers;arrive;Ensemble;Bonjour,Yang,Cao,152 Rue des Italiens,73
2e3e8d98-41e1-45f2-82b6-3ee0761fb23f,2075-07-27T12:01:42,47.79076385498047,2.2131288051605225,Comment;Les;Etats-Unis;ont;corrompu;notre;nation;Les;peacewatchers;arrive;Ensemble,Wang,Ivan,90 Rue des Martyrs,32
747e8a2b-2840-41f1-b313-c6abc5c563db,2068-10-30T01:29:36,47.526180267333984,2.555894374847412,Seul;Soyons;unis;Attention;!;La;grande;invasion;de;l'Est,Robert,Louis,1 Rue des Hongrois,6
4ece2bf8-72e5-4ff2-9eea-f316b5a97c6a,2072-01-17T16:35:19,47.79319763183594,2.922994375228882,Ensemble;Gloire;au;nouvel;ordre;mondial;Pourquoi;?;Pourquoi;?,Liu,Louis,170 Rue des Concombres,38
ce904818-bd42-44fe-b555-1f93da2b7fbf,2068-02-13T08:44:19,47.71658706665039,2.612769603729248,Paris;La;grande;invasion;de;l'Est;Bonjour;La;grande;invasion;de;l'Est,Wu,Claire,199 Rue des Martyrs,75
7154a54c-1670-4331-b01f-ce157884c26b,2075-04-11T22:33:35,47.79264450073242,2.289280891418457,Les;peacewatchers;arrive;Attention;!;La;grande;invasion;de;l'Est;La;voix;du;peuple;sera;entendue,Hammoud,Xinyu,70 Rue des Espagnols,64
2f0fedbc-7729-4096-9e09-78851bed0a87,2069-01-17T12:56:21,47.35359573364258,2.0551936626434326,Bien;La;voix;du;peuple;sera;entendue;A;l'aide;!;Comment,Charpentier,Victor,73 Rue des Marcassins,37
990ff628-3ca4-48c0-b10f-11ff7210c839,2070-04-16T21:33:39,47.415740966796875,2.100571870803833,La;domination;des;élites;Bonjour;J'ai;peur;Attentat,Stepanian,Qixian,148 Rue des Espagnols,73
1ed30f5a-bfb1-4dd8-8651-0a833feda654,2071-08-03T16:14:11,47.69224166870117,2.655946969985962,Les;Etats-Unis;ont;corrompu;notre;nation;La;nouvelle;révolution;Soyons;unis;Comment,Huang,Julie,157 Rue des Arbres,44
dace8cf1-1fa9-4114-9ffe-ea5475eba4bb,2073-06-14T06:55:57,47.42885971069336,2.8140158653259277,A;l'aide;!;Vive;notre;grande;patrie;Attentat;La;voix;du;peuple;sera;entendue,Richard,Sujin,111 Rue des Français,95
8cf7cd1a-e6bd-4f34-894a-2c5b55884007,2074-02-28T06:57:55,47.82695770263672,2.610673427581787,Soyons;unis;La;voix;du;peuple;sera;entendue;J'ai;peur;Seul,Li,Cao,37 Rue des Italiens,39
d5c5477c-4116-4e37-92f3-f6a0fe24f1ff,2074-06-24T09:22:53,47.40897750854492,2.424135208129883,Bien;Vive;notre;grande;patrie;Attention;!;La;grande;invasion;de;l'Est,Yuan,Diane,146 Rue des Poissons,85
03a11862-a45f-46ca-9989-46db821abfe6,2071-11-19T23:22:41,47.77192687988281,2.4646377563476562,Seul;J'ai;peur;J'ai;peur;Attention;!,Boulanger,Julie,138 Rue des Hongrois,44
